Name,Park Code,Region,State,lat,lng,Park Website,See Observations in iNaturalist
Gates of the Arctic National Park and Preserve,GAAR,AKR,AK,67.86900574,-153.3869032,https://www.nps.gov/GAAR/index.htm,http://www.inaturalist.org/observations?place_id=69111&subview=grid
Gauley River National Recreation Area,GARI,NER,WV,38.206142,-81.004202,https://www.nps.gov/GARI/index.htm,http://www.inaturalist.org/observations?place_id=95202&subview=grid
Gateway National Recreation Area,GATE,NER,NY,40.6185497,-73.86104474,https://www.nps.gov/GATE/index.htm,http://www.inaturalist.org/observations?place_id=69314&subview=grid
General Grant National Memorial,GEGR,NER,NY,40.81343436,-73.96307567,https://www.nps.gov/GEGR/index.htm,http://www.inaturalist.org/observations?place_id=95203&subview=grid
George Rogers Clark National Historical Park,GERO,MWR,IN,38.67840212,-87.53700769,https://www.nps.gov/GERO/index.htm,http://www.inaturalist.org/observations?place_id=95204&subview=grid
Gettysburg National Military Park,GETT,NER,PA,39.80428488,-77.23846983,https://www.nps.gov/GETT/index.htm,http://www.inaturalist.org/observations?place_id=95208&subview=grid
George Washington Birthplace National Monument,GEWA,NER,VA,38.19300471,-76.92331568,https://www.nps.gov/GEWA/index.htm,http://www.inaturalist.org/observations?place_id=72881&subview=grid
Gila Cliff Dwellings National Monument,GICL,IMR,NM,33.22760971,-108.2732958,https://www.nps.gov/GICL/index.htm,http://www.inaturalist.org/observations?place_id=95198&subview=grid
Glacier National Park,GLAC,IMR,MT,48.74679601,-113.8587463,https://www.nps.gov/GLAC/index.htm,http://www.inaturalist.org/observations?place_id=72841&subview=grid
Glacier Bay National Park,GLBA,AKR,AK,58.79143942,-136.8109294,https://www.nps.gov/GLBA/index.htm,http://www.inaturalist.org/observations?place_id=69113&subview=grid
Glen Canyon National Recreation Area,GLCA,IMR,UT,37.39766815,-110.8021276,https://www.nps.gov/GLCA/index.htm,http://www.inaturalist.org/observations?place_id=95199&subview=grid
Golden Gate National Recreation Area,GOGA,PWR,CA,37.85887677,-122.551128,https://www.nps.gov/GOGA/index.htm,http://www.inaturalist.org/observations?place_id=9912&subview=grid
Governors Island National Monument,GOIS,NER,NY,40.69161563,-74.01682767,https://www.nps.gov/GOIS/index.htm,http://www.inaturalist.org/observations?place_id=95200&subview=grid
Golden Spike National Historic Site,GOSP,IMR,UT,41.63099575,-112.4939862,https://www.nps.gov/GOSP/index.htm,http://www.inaturalist.org/observations?place_id=95212&subview=grid
Great Basin National Park,GRBA,PWR,NV,38.9460953,-114.2579658,https://www.nps.gov/GRBA/index.htm,http://www.inaturalist.org/observations?place_id=69699&subview=grid
Grand Canyon National Park,GRCA,IMR,AZ,36.18654515,-112.185254,https://www.nps.gov/GRCA/index.htm,http://www.inaturalist.org/observations?place_id=69216&subview=grid
Greenbelt Park,GREE,NCR,MD,38.98403277,-76.90069152,https://www.nps.gov/GREE/index.htm,http://www.inaturalist.org/observations?place_id=97423&subview=grid
Grant-Kohrs Ranch National Historic Site,GRKO,IMR,MT,46.41358655,-112.7467034,https://www.nps.gov/GRKO/index.htm,http://www.inaturalist.org/observations?place_id=95213&subview=grid
Grand Portage National Monument,GRPO,MWR,MI,47.999682,-89.7606885,https://www.nps.gov/GRPO/index.htm,http://www.inaturalist.org/observations?place_id=95216&subview=grid
Great Sand Dunes National Park,GRSA,IMR,CO,37.77654364,-105.6288604,https://www.nps.gov/GRSA/index.htm,http://www.inaturalist.org/observations?place_id=53632&subview=grid
Great Smoky Mountains National Park,GRSM,SER,NC,35.60927471,-83.52627532,https://www.nps.gov/GRSM/index.htm,http://www.inaturalist.org/observations?place_id=72645&subview=grid
Grand Teton National Park,GRTE,IMR,WY,43.81816011,-110.7054877,https://www.nps.gov/GRTE/index.htm,http://www.inaturalist.org/observations?place_id=69099&subview=grid
Guilford Courthouse National Military Park,GUCO,SER,NC,36.1330178,-79.84186813,https://www.nps.gov/GUCO/index.htm,http://www.inaturalist.org/observations?place_id=95214&subview=grid
Gulf Islands National Seashore,GUIS,SER,FL,30.37306335,-86.90996505,https://www.nps.gov/GUIS/index.htm,http://www.inaturalist.org/observations?place_id=95223&subview=grid
Guadalupe Mountains National Park,GUMO,IMR,TX,31.92334952,-104.8843561,https://www.nps.gov/GUMO/index.htm,http://www.inaturalist.org/observations?place_id=69313&subview=grid
George Washington Carver National Monument,GWCA,MWR,MO,36.98713203,-94.35522735,https://www.nps.gov/GWCA/index.htm,http://www.inaturalist.org/observations?place_id=95224&subview=grid
George Washington Memorial Parkway,GWMP,NCR,VA,38.71498629,-77.04954861,https://www.nps.gov/GWMP/index.htm,http://www.inaturalist.org/observations?place_id=97425&subview=grid
Harpers Ferry National Historical Park,HAFE,NCR,WV,39.31286155,-77.74195536,https://www.nps.gov/HAFE/index.htm,http://www.inaturalist.org/observations?place_id=97426&subview=grid
Hagerman Fossil Beds National Monument,HAFO,PWR,ID,42.77557327,-114.9539989,https://www.nps.gov/HAFO/index.htm,http://www.inaturalist.org/observations?place_id=95219&subview=grid
Hamilton Grange National Memorial,HAGR,NER,NY,40.82128019,-73.94727123,https://www.nps.gov/HAGR/index.htm,http://www.inaturalist.org/observations?place_id=95220&subview=grid
Haleakala National Park,HALE,PWR,HI,20.70728294,-156.1485713,https://www.nps.gov/HALE/index.htm,http://www.inaturalist.org/observations?place_id=56788&subview=grid
